,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
1551,dodie,She,45h4w81P5iJJTSeR0jJUQ8,68,1,1,5,576982,70,0.479,0.154,2,-15.051,1,0.0369,0.755,0.0261,0.11,0.232,92.457,213612,4,3,5
1552,Joyner Lucas,Devil's Work,6XH0KeCZ0nRysAeSJYRFFg,68,1,5,4,943747,79,0.587,0.665,2,-6.998,1,0.372,0.197,0.0,0.112,0.222,96.016,285015,4,12,12
1553,Herencia de Patrones,Es Dificil Ser Un Santo,4dporMRQqdmQQEMEz8RVTW,67,1,1,5,92453,70,0.651,0.492,2,-9.013,1,0.0825,0.219,0.0,0.105,0.82,165.903,185757,3,23,20
1554,Clare Dunn,Money's All Gone,3m7eTcwnN3b11A2AkOj6kb,65,1,10,5,29802,60,0.536,0.97,6,-3.199,1,0.0426,0.000738,0.00163,0.131,0.848,146.062,220133,4,16,10
1555,Sturgill Simpson,Sing Along,0JwtuqKYYCA1iJ5cubotGW,66,1,9,5,332338,69,0.489,0.957,7,-2.812,1,0.056,0.0115,0.000405,0.173,0.53,124.026,174568,4,10,16
1556,Arlette Leduc,Coralia,2QuojUtKiQ7l8ZQMDelt3s,70,1,4,7,195,59,0.172,0.0223,2,-30.281,1,0.0395,0.993,0.937,0.0959,0.0381,71.379,197000,4,7,13
1557,H.E.R.,Racks (feat. YBN Cordae),2rTjKV5wbfROo0nOzO1wHq,67,2,6,2,1919905,82,0.72,0.585,8,-6.099,0,0.0512,0.11,0.0,0.223,0.61,114.977,222249,4,24,6
1558,Miranda Lambert,It All Comes Out in the Wash,41FLEFSeRCv19OBn0vLiaH,66,1,11,5,2082697,75,0.602,0.73,0,-4.925,1,0.0314,0.00106,0.000115,0.095,0.923,164.027,214787,4,28,15
1559,Championxiii,Becky,2VDadIDCFgDqvVCvaDPtn9,68,1,6,1,12352,57,0.934,0.439,4,-9.564,0,0.338,0.00506,0.0,0.092,0.289,140.022,118776,4,5,12
1560,Jonas Brothers,Love Her,2hgk8iKN9UdoM4ILlJ9F5N,69,1,6,5,3241720,87,0.74,0.337,8,-6.039,1,0.0282,0.178,0.0,0.0944,0.56,103.002,193133,4,8,14
1561,Los Hijos De Garcia,Moreno 80,1MGJxKsoJ88nwrEMnueAE5,67,2,3,5,217173,65,0.588,0.54,4,-5.057,0,0.0713,0.364,5.55e-06,0.219,0.963,176.445,182001,3,9,19
1562,Alex Couture,Dreaming Deeper,4KPRqt53xnT2Hs2rDGKiRu,67,1,2,2,1032,60,0.175,0.0236,9,-32.695,0,0.0493,0.928,0.95,0.0651,0.0373,122.538,223260,5,15,12
1563,Maisie Peters,Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,75,1,4,5,105701,72,0.396,0.177,5,-10.277,1,0.0378,0.718,0.0,0.139,0.221,177.215,201694,3,12,13
1564,Borghild Wenn,Filotimo,0OH6fMcg4oou7KXzPOXMpi,72,1,10,4,58,59,0.295,0.0285,11,-22.689,0,0.0423,0.993,0.931,0.117,0.219,202.81,133200,4,8,13
1565,Lizzo,Better in Color,4hh3IoUWPySR2YXz8Gy2pr,67,1,5,5,1537538,88,0.702,0.928,7,-2.039,1,0.199,0.0353,3.02e-06,0.192,0.556,129.894,133059,4,15,5
1566,Ruth B.,Slow Fade,25aILAMvglYwkk4QkbfAxV,71,1,1,5,762133,73,0.728,0.335,2,-10.14,1,0.0564,0.756,0.000905,0.0633,0.441,79.997,211613,4,9,7
1567,Riley Clemmons,Fighting For Me,5StojELSdCvj23qhF9OxDW,65,1,3,5,30193,58,0.645,0.727,1,-4.179,0,0.0492,0.156,0.0,0.282,0.152,110.723,229067,4,15,14
1568,TOOL,7empest,0gGfmw4csswZmFPj9YK8GW,69,1,8,5,1032672,79,0.323,0.803,7,-7.397,1,0.0369,7.35e-05,0.834,0.0957,0.386,144.755,943529,5,7,4
1569,Mustard,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",5duCElafuovM4ZSmkQL4hn,67,4,5,5,505405,84,0.871,0.493,9,-6.775,1,0.338,0.0104,0.0,0.0917,0.157,93.016,179388,4,50,7
1570,Shoreline Mafia,Mind Right (feat. Warhol.SS),0ldvmjY7KZIdGE3wmG8H5P,65,4,9,3,453807,78,0.954,0.522,8,-7.032,1,0.366,0.0706,0.0,0.112,0.439,105.044,224413,4,28,15
1571,DJ Drama,Nasty,2jjItCsygxKASceR8hppIX,66,3,9,5,726902,63,0.787,0.388,6,-9.429,0,0.114,0.33,4.63e-05,0.0994,0.494,142.0,177723,4,5,8
1572,P!nk,Hurts 2B Human (feat. Khalid),7c5h27Ju8JE5xWKTQ88KhL,75,2,4,1,7428641,85,0.463,0.62,7,-5.647,1,0.167,0.131,0.0,0.0619,0.158,83.031,202640,1,29,4
1573,YBN Cordae,Way Back Home (feat. Ty Dolla $ign),1pHyMdmKAp494PDSZhJHvR,67,2,7,5,796134,78,0.868,0.521,1,-7.837,0,0.426,0.378,0.0,0.374,0.407,117.146,199117,4,35,10
1574,Yungeen Ace,Step Harder,40CzF4QRkG1XAYonnuNeVp,65,1,11,5,245344,68,0.82,0.65,5,-5.799,0,0.426,0.0182,0.0,0.115,0.363,155.026,176627,4,11,11
1575,Alina Baraz,To Me,70izrPPF9I7fqCOChXsc30,68,1,9,2,571213,73,0.474,0.577,1,-8.72,1,0.0371,0.434,0.151,0.0919,0.0411,77.976,257227,4,5,11
1576,Tinashe,Touch & Go,0t4knmBuw14LysanDonPrj,69,2,11,4,1513613,76,0.658,0.541,8,-9.908,0,0.0486,0.432,9.02e-06,0.103,0.19,132.034,255658,4,10,7
1577,E-40,Chase The Money,3rnDyg4f2oRsWmXdZVFD1Y,64,5,7,5,457009,74,0.893,0.776,11,-5.356,1,0.293,0.00607,0.0,0.103,0.229,91.987,284439,4,15,4
1578,Chance the Rapper,Eternal,5LeStoyvjAHpM52IYogOq0,66,2,7,5,4501125,87,0.793,0.524,5,-6.229,0,0.148,0.0622,0.0,0.0803,0.631,95.044,243915,4,7,17
